time_decimal,value
1988.191256830601,352.39
1988.1939890710385,351.47
1988.1967213114756,351.11
1988.1994535519125,351.36
1988.2021857923496,352.72
1988.204918032787,351.48
1988.207650273224,353.22
1988.2103825136608,352.47
1988.2158469945357,351.3
1988.2185792349728,351.63
1988.22131147541,351.44
1988.229508196721,352.33
1988.2322404371585,352.52
1988.234972677596,352.4
1988.2431693989072,352.75
1988.2459016393443,353.15
1988.2486338797812,353.62
1988.2513661202183,353.28
1988.2568306010928,353.07
1988.25956284153,353.71
1988.2622950819675,353.22
1988.2650273224044,353.13
1988.267759562841,353.43
1988.270491803279,353.28
1988.273224043716,353.71
1988.275956284153,354.24
1988.27868852459,353.85
1988.2814207650276,353.33
1988.2841530054643,353.04
1988.2868852459017,352.95
1988.2896174863388,352.95
1988.292349726776,352.84
1988.295081967213,353.41
1988.2978142076504,353.28
1988.3005464480875,353.76
1988.3032786885249,353.95
1988.3060109289615,354.24
1988.308743169399,353.86
1988.311475409836,353.94
1988.3142076502727,354.31
1988.3224043715848,355.07
1988.3251366120217,354.55
1988.327868852459,354.85
1988.330601092896,354.37
1988.3333333333333,354.36
1988.3360655737704,354.33
1988.338797814208,353.98
1988.3415300546449,353.67
1988.344262295082,353.64
1988.349726775956,353.72
1988.3524590163931,354.18
1988.3551912568305,354.32
1988.357923497268,354.44
1988.360655737705,354.79
1988.363387978142,354.5
1988.3661202185792,354.33
1988.3715846994533,354.4
1988.3743169398904,353.78
1988.377049180328,354.26
1988.379781420765,354.5
1988.3825136612024,354.08
1988.3852459016396,354.92
1988.3879781420765,354.81
1988.3907103825136,354.8
1988.3934426229507,354.83
1988.396174863388,354.72
1988.3989071038247,354.77
1988.4043715846997,354.87
1988.4071038251368,354.5
1988.4098360655737,353.86
1988.4125683060108,354.14
1988.4207650273224,353.86
1988.42349726776,354.02
1988.426229508197,353.89
1988.4289617486336,354.44
1988.431693989071,354.4
1988.4344262295083,354.53
1988.4371584699452,354.69
1988.4398907103823,354.62
1988.44262295082,354.43
1988.4453551912568,353.6
1988.450819672131,353.89
1988.4535519125684,354.1
1988.4562841530053,354.21
1988.4590163934429,353.64
1988.46174863388,353.72
1988.464480874317,353.61
1988.467213114754,353.52
1988.4699453551912,353.52
1988.4726775956285,353.65
1988.4754098360656,353.25
1988.4781420765028,353.37
1988.48087431694,353.3
1988.483606557377,353.4
1988.486338797814,353.27
1988.4890710382515,353.46
1988.4918032786888,353.3
1988.4945355191255,353.26
1988.4972677595629,353.6
1988.5,353.75
1988.5054644808745,353.27
1988.5081967213116,353.23
1988.5109289617487,353.28
1988.5136612021856,352.68
1988.516393442623,352.73
1988.51912568306,352.53
1988.5218579234968,352.46
1988.5245901639344,352.89
1988.5273224043715,353.92
1988.5300546448088,352.99
1988.53825136612,353.27
1988.5409836065571,352.48
1988.5437158469945,352.81
1988.546448087432,353.75
1988.549180327869,353.03
1988.5546448087432,353.28
1988.5573770491803,352.77
1988.5601092896172,352.17
1988.5628415300544,352.13
1988.565573770492,351.56
1988.568306010929,351.73
1988.5710382513664,352.14
1988.5737704918035,352.71
1988.5765027322404,352.26
1988.5792349726776,351.31
1988.584699453552,350.73
1988.5901639344263,351.37
1988.5928961748637,351.26
1988.5956284153008,350.22
1988.5983606557377,350.64
1988.6010928961748,350.98
1988.603825136612,351.03
1988.6065573770493,351.22
1988.6092896174864,350.94
1988.6120218579235,350.75
1988.614754098361,350.78
1988.6174863387976,350.33
1988.620218579235,349.6
1988.6284153005463,350.54
1988.631147540984,350.65
1988.6338797814208,350.05
1988.636612021858,351.12
1988.639344262295,351.13
1988.642076502732,350.66
1988.6448087431693,350.84
1988.650273224044,348.79
1988.6530054644809,349.04
1988.655737704918,349.05
1988.6584699453551,350.36
1988.6612021857925,350.05
1988.6639344262296,349.24
1988.669398907104,349.69
1988.672131147541,349.26
1988.674863387978,349.79
1988.6775956284152,348.82
1988.6803278688524,349.14
1988.6830601092895,348.6
1988.6857923497269,348.71
1988.688524590164,348.42
1988.691256830601,348.94
1988.6939890710385,349.16
1988.6967213114756,349.52
1988.6994535519125,349.38
1988.7021857923496,349.12
1988.707650273224,349.05
1988.7103825136608,349.0
1988.7131147540983,349.34
1988.7158469945357,349.56
1988.7185792349728,348.95
1988.72131147541,348.39
1988.724043715847,347.96
1988.726775956284,349.2
1988.7322404371585,347.86
1988.734972677596,348.42
1988.7377049180327,348.53
1988.7431693989072,349.61
1988.7459016393443,349.04
1988.7486338797812,349.61
1988.754098360656,348.77
1988.75956284153,349.43
1988.7622950819675,349.32
1988.7650273224044,349.23
1988.767759562841,349.26
1988.770491803279,348.74
1988.775956284153,348.93
1988.77868852459,349.22
1988.7814207650276,348.79
1988.7841530054643,349.2
1988.7868852459017,348.81
1988.7896174863388,349.15
1988.792349726776,349.2
1988.795081967213,349.76
1988.7978142076504,349.84
1988.8005464480875,349.39
1988.8032786885249,349.71
1988.8060109289615,349.73
1988.808743169399,349.89
1988.811475409836,349.61
1988.8169398907105,349.23
1988.8224043715848,350.13
1988.8251366120217,349.6
1988.827868852459,349.87
1988.830601092896,349.62
1988.8333333333333,349.92
1988.8360655737704,350.36
1988.838797814208,350.21
1988.8415300546449,350.11
1988.8524590163931,349.98
1988.8551912568305,349.97
1988.857923497268,350.27
1988.860655737705,350.18
1988.863387978142,350.11
1988.8661202185792,350.54
1988.8688524590164,350.38
1988.8715846994533,350.26
1988.877049180328,350.35
1988.879781420765,350.38
1988.8852459016396,350.49
1988.8879781420765,350.31
1988.8907103825136,350.94
1988.8934426229507,350.86
1988.896174863388,350.81
1988.8989071038247,350.85
1988.9016393442623,351.22
1988.9043715846997,350.88
1988.9071038251368,350.96
1988.9098360655737,350.83
1988.9125683060108,350.62
1988.915300546448,351.06
1988.9180327868853,350.82
1988.9207650273224,350.62
1988.92349726776,350.92
1988.926229508197,351.18
1988.9289617486336,351.21
1988.9344262295083,351.36
1988.9371584699452,351.08
1988.9398907103823,350.94
1988.94262295082,350.97
1988.9453551912568,351.44
1988.948087431694,351.6
1988.950819672131,351.93
1988.9535519125684,351.94
1988.9562841530053,351.76
1988.9590163934429,351.92
1988.96174863388,352.34
1988.967213114754,351.63
1988.9699453551912,351.6
1988.9726775956285,351.73
1988.9754098360656,351.67
1988.9781420765028,351.69
1988.98087431694,351.49
1988.983606557377,352.02
1988.986338797814,351.66
1988.9890710382515,352.47
1988.9918032786888,352.56
1988.9972677595629,353.43
1989.0,352.29
1989.0027397260276,352.69
1989.0054794520547,352.5
1989.0082191780823,352.75
1989.0109589041097,352.87
1989.013698630137,352.64
1989.0164383561644,352.95
1989.019178082192,353.33
1989.021917808219,353.76
1989.024657534247,353.77
1989.027397260274,353.39
1989.0301369863012,353.11
1989.0328767123287,352.93
1989.035616438356,352.72
1989.0438356164384,353.58
1989.0465753424655,353.46
1989.049315068493,352.96
1989.0520547945205,352.92
1989.054794520548,352.94
